,binary_injury,NARRATIVE,split
0,high_injury,   bolt jackleg rock fall rib,train
1,high_injury,   employee assist bolter operator bolt position hand bolt operator employee strike low leg rock employee sustain hyper extended knee cause fracture ankle knee plus possible ligament damage,train
2,high_injury,   lubrication wire instal electrical conduit employee slip electrical pull box reach leave hand grab edge box    cause laceration hand result 7 stitch surgical repair tendon    root cause wear require glove stand slippery wet surface use improper wire guard box,train
3,high_injury,   employee work loader accidentally step home lift floor twist ankle cause fall right knee,train
4,high_injury,   employee scrape cement form outdoors snow form cause workpiece slip hand strain leave forearm tendonitis diagnose dr advise 64 year old employee complete 2 week course pt stretching work regular job care strain forearm treatment complete employee return duty 2/2/05,train
5,high_injury,"   person help construct roadway bridge section 3""x 8 plank stringer injure 12lbsledge hammer drive nail bridge board feel pain center low",train
6,high_injury,   operate load uneven ground,train
7,high_injury,   instal counter weight cone crusher foot slip cause employee hit right shoulder steel frame,train
8,high_injury,   ee compalined pain groin remember specific date time ee diagnose hernia 7 1 02 ee surgery 7 5 02 return surgery,train
9,high_injury,   ee operate forklift foot hang lift foot strike pallet bag clay twist foot cause sprain,train
10,high_injury,   transfer masonry silos dust escape fill travel area cause employee step clearly employee trip hit knee step area,train
11,high_injury,   cut weld low hinge pin bracket scissor hoist frame dump box hoist rotate cut index finger leave hand hoist frame truck frame,train
12,high_injury,   strike force concussion methane explosion,train
13,high_injury,   employee rock curtain hurt right arm tendon tear surgery require employee surgery start miss work 7/12/2013,train
14,high_injury,   miner face raise bar ready stull slab come,train
15,high_injury,   employee reinstall fan guear haul truck foot slip ladder arm catch steel fan guard laceration right forearm,train
16,high_injury,   lunch ee truck rock tear tire jar pick rock pull,train
17,high_injury,   forklift step floor uneven twisted ankle work 8:00am send omega center check drug test fail terminate,train
18,high_injury,   employee manually clear rock cavity 7 cone crusher suffer muscle strain low,train
19,high_injury,   supervisor pound bit insert miner head piece metal fly impede leg    cause injury safety awareness compliance rule reg factor protective equipment factor miner knowledge factor mining equipment system factor,train
20,high_injury,   employee allege walk wet ramp slip wet area hurt leave shoulder    employee surgery 06 13 07 start lose time date,train
21,high_injury,   employee clean containment pit wet sediment shovel process strain,train
22,high_injury,   employee injure small metal shard enter right forearm attempt remove ground engagement tooth bucket komatsu wa900 loader 20 lb sledge hammer knock tooth shank piece metal chip tooth lodge arm,train
23,high_injury,   ee walk coil water hose trip    fall floor land leave hip result rupture disc low    injury require surgery 3/9/07,train
24,high_injury,   employee pull roof bolter cable start hurt ee pull muscle,train
25,high_injury,   employee walk conveyor walkway stumble    jam finger guard rail sprain finger,train
26,high_injury,   employee fuel loader fuel station slip grab hand rail w left hand pull lt shoulder,train
27,high_injury,   employee walk portable restroom slip piece grate place restroom clean boot slip fall ground place hand catch strike grating cause laceration finger require suture,train
28,high_injury,   employee bent mining cable rock approximately 2'x1'x2 fall strike employee low    employee scale rock area remainder look good,train
29,high_injury,   ee pull d ring timberhead barge lose footing catch finger dring timberhead cause injury awareness compliance rule reg factor personnel safety equip factor profiency factor mining system factor,train
30,high_injury,   position shovel dipper haul truck bed rock fall truck bed,train
31,high_injury,   employee attempt lift 50 bag reject line strain low    treat local clinic place restrict duty,train
32,high_injury,   employee 18 long pry bar remove ductwork employee complain right arm shoulder pain approximately 30 minute complete task,train
33,high_injury,   employee bolt place piece draw fall hit employee hand employee continue work 7 14 11,train
34,high_injury,   operator open hatch rail car wrench feel left shoulder pop climb car experience pain chiropractic treatment physical therapy,train
35,high_injury,   ee rake loose material belt pile shoveling shovel lean wall shovel bump cause fall belt throw wall shove handle break piece handle strike ee leave index finger result separation fracture knuckle joint,train
36,high_injury,   employee drill operator    employee ground measure hole slip dirt land right hand,train
37,high_injury,   lift head jib crane beam break hit ee head,train
38,high_injury,   drill face 690 rock roll face miner jump avoid rock feel knee pop    miner ibuprofen finish shift    miner home knee start swell,train
39,high_injury,   ee routine inspection fan house 19 d l.    end house fan on/ cab step main floor    edge house expand metel guard remove dead bird guard metal break frame employee    fall 3 4 foot roof machine house hit right rib area,train
40,high_injury,   conveyor lead wash plant 1 load skidster usually cleanoff conveyor mechanical repair reduce load conveyor 6 ee manu ally unload conveyor shovel ee come lose foot fall bed pick truck fall occur 2 4 foot,train
41,high_injury,   employee walk face area apply rockdust step hole fall floor fall leave ankle fall bend    fracture leave ankle,train
42,high_injury,   grind steel ee piece eye emp swear safety glass z87.1,train
43,high_injury,   ee attempt catch liner strain,train
44,high_injury,   employee clean blockage stone feeder tunnel 2 stone pile blockage suddenly cause employee pinch leave fourth finger feeder bar,train
45,high_injury,   ee plate chute stick ee pull free strain shoulder,train
46,high_injury,   injure employee carry 8 pipe coworker coworker stop cause pipe strike face cause contusion,train
47,high_injury,   ee roof bolt time incident drill hole outside bolt rib rock fall roof finish drill hole start install bolt trip rock fall try catch fall place right hand boom arm catch index finger boom canopy post,train
48,high_injury,   ee pull water hose wash concrete pad state feel wrist pop notice pain,train
49,high_injury,   ee job site belt 4 belt 5 faint ambulance ee transport hospital area test carbon monoxide register 6 ee work area un affect contest injury work relate believe car test,train
50,high_injury,   operator hurry loader lose balance trip rock land hip rt leg rt wrist hit ground rt arm hit loader tire sustain sprain wrist shoulder,train
51,high_injury,   friday november 19 2010 11:00 a.m. haul truck driver lift 35 pound wheel chock replace cat 785c haul truck feel pain low    tuesday december 01 2010 physician send employee mri work low strain,train
52,high_injury,   initial investigation indicate 2 ft diameter pipe carry aggregate backfill plant break loose strike hoist cage,train
53,high_injury,   hammer bear load hammer glance bear cause arm strain,train
54,high_injury,   ee 3 wheeler charger    catch foot charger lead fall twist leave knee    ee start miss work 1/13/05 strained leave knee,train
55,high_injury,   ee attempt grease bear crusher bull wheel shaft fit 6 floor level ee stand electric motor reack fitting ee slip fall mot strike rail,train
56,high_injury,   individual hit head guard panel come miner head presumably having secure properly individual wear hard hat notify miner offer local hospital decline finish day walk clinic way home,train
57,high_injury,   employee stem hole 5 gallon bucket sprain lift bucket,train
58,high_injury,   employee strain lift lid toolbox hernia develop require medical care ee begin miss work 2/5/07,train
59,high_injury,   employee clean powerscreen machine slip fall break leave arm elbow,train
60,high_injury,   place tool backhoe employee right hand outrigger support tool slide fender land right boom swing pedal cause boom swing right pin right hand employee remove tool free break skin hand break small bone,train
61,high_injury,   ee piece stone strain low lift stone,train
62,high_injury,   employee disconnect dredge pipe shoreline    employee stand pipe remove bolt flange    bolt remove pipe shift strike employee low leg cause contusion,train
63,high_injury,   employee change motor auger require heavy lifting tugging    day knot appear leave employee lot pain discomfort,train
64,high_injury,   worker strain pick flagstone pallet,train
65,high_injury,   employee co worker carry 2/0 motor cable cable coupler motor sle pit car reconnection    injure employee right foot twist fall    continue job connect motor power cable pit car    morning employee notify foreman swell right ankle    x ray reveal fracture,train
66,high_injury,   ee drill bolt hole depth 1st drill steel join 2nd steel 1st raise bolter boom meet low end 2nd steel low end 2nd steel completely engage chuck raise boom steel spring laterally strike right thumb cause laceration,train
67,high_injury,   employee hand grinder 4 cutoff wheel cut open electrical box grind wheel catch corner break apart kick grinder strike employee leave hand base pinky finger cause laceration,train
68,high_injury,   employee step rock twist leave knee carry comealong employee start lose time 3/12/09 surgery**(misc mail 2/16/2010 14 start lose time 2/10/10 surgery,train
69,high_injury,   ee cut piece wire rope,train
70,high_injury,   zone 9 slope start slope approximately 1/4 way feel like brake 8 man mantrip    turn right able left turn run coal rib    employee operator 8 man mantrip,train
71,high_injury,   employee turn hit arm leg lime silo crusher,train
72,high_injury,   ee state hang vent tube piece rib fall hit right face,train
73,high_injury,   fan door door start close reach push scoop roll catch hand door canopy scoop,train
74,high_injury,   change 25hp pump pull hand rail feel pain right groin hernia diagnose 8/30/05    surgery schedule 9/6/05,train
75,high_injury,   ee wash window end loader slip wet clay dust load fall approx 5 foot ground land hip hand radio,train
76,high_injury,   employee john deere 350 d excavator load dirt hit hard spot ground cause machine raise material break loose machine fall ground hard,train
77,high_injury,   employee walk hill miner feel pull right calf employee start miss time injury january 9 2012,train
78,high_injury,   slip walk beltline try catch feel pain right shoulder surgery 4 15 2011 begin miss work,train
79,high_injury,   employee pry bar pry bar slip cause feel pain right shoulder,train
80,high_injury,   employee fall shower room finish shower,train
81,high_injury,   tighten conveyor chain buggy ee right foot rachet jump rachet slip jam leg ground break tibia plateau right leg,train
82,high_injury,   ee ratchet tighten bolt ratchet slip cause strike wrist,train
83,high_injury,   scoop operator hand shoveling rib face crosscut b-4 production hole return piece roof approx 15 wide 4 long 10 thick fall roof bolt strike operator right shoulder dislocate shoulder,train
84,high_injury,   draw rock fall bolt strike employee head,train
85,high_injury,   employee state change bearing sustain pain work 4/26/03 report injury 4/29/03,train
86,high_injury,   employee pick seal wear plate receive laceration ring finger sharp edge plate    receive 3 suture,train
87,high_injury,   employee state seat bounce load finally cause pain neck er release shift day 10/9/13 pcp work prescribe therapy    currently ongoing,train
88,high_injury,   employee attempt hook boom truck shaker screen hold hook align screen hook swivel pick screen swivel turn pinch right pinky finger shaker screen finger lacerate stitch need close wound,train
89,high_injury,   employee remove man basket shift pinch right index finger result small fracture tip finger suture,train
90,high_injury,   employee climb ladder piece iron fall ladder strike leave foot,train
91,high_injury,   ee disassemble f-900 screen step tube cover floor area leave foot land 3x3 piece angle iron sprain leave ankle ee clinic later night,train
92,high_injury,   fall ladder climb check screen head oil level,train
93,high_injury,   attempt remove stick drill steel ee strain lower,train
94,high_injury,   refuel step ladder loader feel pain slightly underneath leave knee,train
95,high_injury,   small engine fuel tank fuel equipment catch fire transfer fuel portable fuel wagon employee burn hand nose fire,train
96,high_injury,   employee pull freight cart w/200 300lbs delivery employee lift r leg turn right pull cart weight leave leg employee feel pain leave knee cap area,train
97,high_injury,   ee feel burn pain low piece screen cloth,train
98,high_injury,   ee shovel belt conveyor complain pain leave shoulder,train
99,high_injury,   employee guide pipe pull atv dig bar    bar begin slip step pipe    bar dislodge pipe hit right knee leg,train
100,high_injury,   repeat hammering drift 678 blower pipe,train
101,high_injury,   ee shovle lime kiln lift bar prying buildup inside kiln shovel ee feel pull stomach,train
102,high_injury,   clean bin victim fall conv belt draw motor mount cause fractured left hip cut scrape leave leg,train
103,high_injury,   employee dismount d8 dozer check oil    grab handhold right hand step platform foot slip cause right shoulder hand pull hard    employee work 9/25/06 shoulder surgery start miss work day,train
104,high_injury,   ee exit loader miss step release hand grip cause lose balance fall ground strike elbow shoulder,train
105,high_injury,   employee kneeling position organizing roof bolt supply fletcher roof bolter rock fall bolt strike ankle right foot rock measure 36 long x 26 wide x 2 thick,train
106,high_injury,   employee cut leave hand finger index middle stick hand overhead c vent operate loader,train
107,high_injury,   ee swinge 16 pound doublejack finger pinch handle doublejack object strike,train
108,high_injury,   employee state experience discomfort attempt lift hood volvo truck,train
109,high_injury,   ee report slip mud base stair near old floatation control room tweeke 10/30 ee casually relay possible injury non wc med provider learn investigation conduct comp accept 11/6,train
110,high_injury,   employee push mobile welder maint employee pull welder    welder wheel hit uneven surface concrete floor cause welder push shift leave pinch employee leave hand welder push stationary welder past,train
111,high_injury,   employee slip ice upper parking lot car right ankle sprain,train
112,high_injury,   employee step hole twist ankle,train
113,high_injury,   connector hang steel girder approx 40 ground crane operator swinge load    girder worker turn load poor communication worker connector crane operator load swing strike knee cause hit column,train
114,high_injury,   operate scraper frozen ridge cause operator bounce 1/18/08 report doctor 1/23/08,train
115,high_injury,   emp dislodge rock rear tire rock split come strike emp leg require stiche,train
116,high_injury,   ee work alongside mover conveyor slip dust cover incline try prevent fall catch leave hand forearm roller belt,train
