,body_injury,NARRATIVE,split
0,extremities, bolt jackleg rib rock,train
1,extremities, jackleg ankle assist bolter cause damage employee extended fracture hand hyper knee leg,train
2,extremities, rock ligament low make operator plus position possible strike sustain box conduit edge electrical glove grab guard improper,train
3,extremities, instal laceration lubrication pull reach repair require,train
4,extremities, employee position possible repair result root slip slippery stand stitch surface surgical tendon use,train
5,extremities, ligament guard wear wet wire accidentally floor home lift loader right step twist work advise care cement complete course diagnose,train
6,extremities, ligament laceration care duty forearm form job old outdoors pt regular,train
7,extremities, conduit return scrape snow strain stretching tendonitis treatment week workpiece year board bridge center construct drive feel hammer help,train
8,extremities, rock guard laceration course center injure lbsledge nail,train
9,extremities, fall ankle cause operator lbsledge pain person plank put roadway section stringer ground operate uneven cone,train
10,extremities, cause strike pull result counter crusher foot frame hit,train
11,extremities, employee shoulder steel weight compalined date ee groin hernia remember,train
12,extremities, lbsledge cone specific surgery time bag clay forklift pallet sprain area clearly dust escape masonry silos transfer travel bracket cut cutting,train
13,extremities, left pull step course help lbsledge dump finger hinge hoist index pin rotate scissor,train
14,extremities, require center truck weld concussion explosion force methane arm curtain get hurt miss start,train
15,extremities, get tear bar come face miner ready slab stull catch fan guear haul,train
16,extremities, rock plus strike electrical course dr week lbsledge silos ladder reinstall go jar lunch pick see tire am check drug fail omega send terminate test,train
17,extremities, care forearm return counter remember methane twisted cavity clear,train
18,extremities, counter curtain come check manually muscle suffer awareness bit compliance equipment factor fly,train
19,extremities, advise counter pick check head impede injury insert knowledge metal mining piece,train
20,extremities, plus edge help crusher remember insert pound protective reg rule safety supervisor system allege lose ramp walk clean,train
21,extremities, instal come fan equipment insert containment pit process sediment shovel attempt,train
22,extremities, jackleg employee guard result remember methane raise see bucket chip engagement enter knock,train
23,extremities, old stretching raise attempt komatsu lb lodge remove shank shard sledge small tooth wa,train
24,extremities, strike accidentally advise hammer hang travel hoist come ramp coil disc hip hose land ruptured water cable roof conveyor jam rail stumble walkway fuel lt,train
25,extremities, guard tendon lbsledge plank miss check impede station boot grate,train
26,extremities, grating place portable restroom suture approximately bent good look move remainder say scale barge dring equip footing personnel profiency,train
27,extremities, fall cause strike guard pull reach lbsledge stringer operate trip hoist ring timberhead,train
28,extremities, rock position pull tendon remember protective bed,train
29,extremities, rock cause guard lbsledge put clearly curtain equipment ramp dipper clinic line local reject restrict treat,train
30,extremities, jackleg rock employee hyper use course weight dipper complain ductwork long,train
31,extremities, guard laceration foot hang dump raise grate minute pry task,train
32,extremities, jackleg left accidentally dr regular lbsledge put get long continue,train
33,extremities, hyper strike pull hang come ramp clean reject draw car chiropractic climb experience hatch,train
34,extremities, instal work forearm help operate finger tire fly timberhead open physical pop therapy wrench belt break bump handle joint,train
35,extremities, jackleg rock cause laceration left reach dr lbsledge clearly trip knuckle lean,train
36,extremities, glove work forearm put foot remember omega grate ring bed loose material pile rake separation shove shoveling throw wall dirt drill hole measure,train
37,extremities, fall employee instal advise year injury enter minute beam crane jib avoid finished,train
38,extremities, cause edge tendon lbsledge plank lodge ring bed pile ibuprofen jump,train
39,extremities, slip board plank rake roll shift swell take bird cab dead end expand house inspection machine,train
40,extremities, rock employee position conduit pull course lbsledge crusher remember hang trip supervisor chip shove main metel on routine ally,train
41,extremities, ligament slippery wear course nail crusher komatsu remainder rake cleanoff lead load loaded manu mechanical,train
42,extremities, strike left hang occur plant reduce skidster unload,train
43,extremities, instal reach clearly curtain miss attempt remainder material usually wash apply bend rockdust,train
44,extremities, rib pick am knock lodge bed loose take emp eye glass grind swear liner blockage feeder fourth pinch stone suddenly tunnel chute free,train
45,extremities, possible reach week plate stuck back carry,train
46,extremities, cause ligament tendon dr hoist bed loose contusion coworker pipe stop,train
47,extremities, instal left tendon hang methane get muscle fly back boom canopy finish incident,train
48,extremities, jackleg cause forearm hang raise install outside post try concrete,train
49,extremities, employee hyper ligament possible result course bridge restroom notice pad state wrist affected ambulance believe call carbon,train
50,extremities, employee strike reach ramp reject crane free contest faint,train
51,extremities, fall guard dr regular drive lbsledge clearly grate hospital,train
52,extremities, strike pull wear old feel come roll monoxide register,train
53,extremities, ankle strike dr hang come fail ramp komatsu car relate site transport un balance,train
54,extremities, step lbsledge miner roll hurry,train
55,extremities, ligament strike instal forearm frame weight attempt task main landing,train
56,extremities, employee tendon weight groin enter walkway crane main faint rt,train
57,extremities, left pull tendon lbsledge operate remember ibuprofen cat chock,train
58,extremities, plus sustain lbsledge roadway operate come ramp komatsu reject car rake pipe december,train
59,extremities, rock position guard course plank restrict ductwork driver friday,train
60,extremities, operator plus edge help check driver mri november physician replace tuesday wheel aggregate backfill cage diameter,train
61,extremities, bolt possible footing glass ft indicate,train
62,extremities, pull require tendon come car initial investigation,train
63,extremities, operator plus conduit electrical left foot get tire mining scale inspection replace bearing glance charger leave strained wheeler bull electric fitting grease,train
64,extremities, snow center counter raise enter avoid end metel pipe level mot motor reack,train
65,extremities, strike require remember fill impede shaft day decline hard,train
66,extremities, operator require year cavity bit walk wa knuckle hat having individual notify offer panel presumably properly secure,train
67,extremities, operator fill bracket shoveling way gallon stem begin develop lid medical toolbox elbow powerscreen backhoe,train
68,extremities, employee pull slippery dr operate come face ramp komatsu ring car site investigation bone,train
69,extremities, bolt rock cause pull ring cat fender,train
70,extremities, jackleg rock cause,train
71,extremities, rock ligament possible guard course groin clear ibuprofen cleanoff plant driver outrigger pedal skin slide support swing tool,train
72,extremities, rock cone walkway line reject restrict material contest indicate individual powerscreen disconnect dredge flange shoreline appear auger change discomfort heavy knot lifting,train
73,extremities, forearm treatment help tire supervisor restrict monoxide charger lot tugging flagstone worker co connect coupler foreman,train
74,extremities, cause pull tendon lbsledge come ramp reject morning power,train
75,extremities, cause hyper reach dr hang jib avoid ray reconnection reveal sle,train
76,extremities, employee hyper plus conduit treatment get face ramp komatsu car chiropractic plant investigation chuck completely depth engage join laterally meet nd spring st,train
77,extremities, scrape foot remember lodge continue rake crane take thumb apart base corner cutoff grinder kick opening pinky mail misc rope able brake coal,train
78,extremities, rock position possible strike course lbsledge plank hoist wa bump like,train
79,extremities, jackleg ankle pull step site man mantrip,train
80,extremities, hang lose restroom swell dead expand metel wheel develop run slope turn zone lime silo tube vent close door push scoop hp,train
81,extremities, rock strike course lbsledge omega wa pile main pump,train
82,extremities, rock ligament course week reinstall suffer komatsu conveyor mechanical schedule,train
83,extremities, conduit dump approx radio window john calf,train
84,extremities, sustain glove lift counter curtain come muscle fly insert hill january beltline room shower,train
85,extremities, left board silos travel bracket tire piece footing draw break shoveling reduce fourth aggregate glance day deere buggy chain plateau rachet tibia tighten ratchet crosscut dislocate production thick,train
86,extremities, jackleg hand position put raise cavity complain wide,train
87,extremities, plus conduit require accidentally advise dr strain injure nail clearly hoist coil personnel wheeler meet report receive seal sharp bottom bounce,train
88,extremities, tendon lbsledge trip methane currently er finally neck,train
89,extremities, fall rock ligament conduit care course put bump swell rachet ongoing,train
90,extremities, plus strike old strain remove metel stuck auger pcp prescribe release seat align hold,train
91,extremities, require fill methane check clear impede cleanoff back friday develop skin hook,train
92,extremities, rock guard left landing lacerate,train
93,extremities, hand reach wear counter come move cleanoff ambulance need,train
94,extremities, strike electrical wet lbsledge plank tear sediment hook screen,train
95,extremities, rock position result week curtain raise pick wash stone shaker swivel wound,train
96,extremities, remember lt rake jib basket tip iron angle cover,train
97,extremities, jackleg hyper instal work put counter hoist factor pit bucket komatsu disassemble later night oil lower refuel slightly underneath burn engine fire,train
98,extremities, operator require tendon dr bridge counter hang clearly trip bracket unload transport nose tank wagon,train
99,extremities, rock require board counter ring pile jib dead metel slope cap cart delivery,train
100,extremities, guard slippery twist plank hoist raise enter komatsu move apply freight lbs up,train
101,extremities, hyper stand hernia forklift hang raise sediment jib bend cloth,train
102,extremities, ligament feel curtain atv dig dislodge guide blower drift,train
103,extremities, cause position pull require pit material roll hurry angle,train
104,extremities, duty year ee curtain cavity pit shove door hammering repeat buildup inside,train
105,extremities, fall position wire dr help trip truck get tire fail remove hose move hard tank kiln prying shovle stomach bin conv fractured mount victim,train
106,extremities, require bracket occur skidster unload site dismount dozer handhold,train
107,extremities, guard board fan muscle mining loose comealong platform exit grip fletcher kneeling organizing supply,train
108,extremities, lbsledge roll middle overhead stick,train
109,extremities, employee guard reach guear reject draw crane cab contest doublejack object swinge hood volvo accept casually,train
110,extremities, jackleg cause result tendon old cone pit walkway ally contest comp conduct,train
111,extremities, result advise counter glance control floatation learn med,train
112,extremities, cause hyper position strike reach roll metel mud,train
113,extremities, ligament laceration care plank long crane tugging near non,train
114,extremities, hyper strike instal reach require curtain fan level hook provider relay stair tweeke,train
115,extremities, plank groin hang contest wc maint mobile past stationary,train
116,extremities, hang back fletcher welder ice parking upper column communication connector girder,train
117,extremities, employee tendon come back fire poor,train
