,split,words,ents
0,train,he was pulling a 54 inch v wiper and felt pain in his lower stomach,o o o o o o o o o o o o o o o
1,train,breathing difficulties . employee provided first notification of this incident 7/26/05 .,o o o b-person/employee o o o o o o o o
2,train,while palletizing flat rock ( landscape stone ) injured person was swinging a maul and twisted his lower back causing a minor strain on lower back muscle .,o o o o o o o o b-person/injured_person i-person/injured_person o o o o o o o b-body_part/back/lower_back i-body_part/back/lower_back o o b-severity/minor b-injury/muscle/strain o b-body_part/back/lower_back i-body_part/back/lower_back b-injury/muscle o
3,train,"employee was helping load bolts on roof bolter on 1 section . as he loaded the bolts he said he felt a pain in lower back . he did not go to see doctor , and continue to work every day till october 6. he never said anything the whole time or on october 6 about back hurting . he called us october 7th , and said his doctor had him off on the strain from the 9-14-2015 incident .",b-person/employee o o o o o o o o o o o o o o o o o o o o o o o b-body_part/back/lower_back i-body_part/back/lower_back o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/back o o o o o o o o o o o o o o o o o b-injury/muscle/strain o o o o o
4,train,employee stepped into hot feed and fell while looking for cause of power outage,b-person/employee o o o o o o o o o o o o o
5,train,employee was getting out of the mantrip when he got tripped up trying to get out and he fell on a 6 '' water that was on the ground causing him to hurt his ribs .,b-person/employee o o o o o o o o o o o o o o o o o o o o o o line o o o o o o o o o o o o
6,train,"employee was using cutting steel bearing mount on the end a caterpillar d11n push arm . as he was cutting the bottom section , a small piece of hot slag ( &lt; 1/4 '' diameter ) blew out and got under his cutting goggles , burning the bottom of his left eyelid .",b-person/employee o o o o o o o o o o o o o b-body_part/arm o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
7,train,"employee was attempting to bolt a shaft to a gearbox , when the shaft slipped in clamp pinching left thumb between clamp and coupling .",b-person/employee o o o o o o o o o o o o o o o o o b-body_part/arm/hand/thumb/left_thumb i-body_part/arm/hand/thumb/left_thumb o o o o o
8,train,bumped head in truck and that aggravated back injury,o b-body_part/head o o o o o b-body_part/back o
9,train,employee was packing in # 1 when his right leg slipped on the steel railing and he fell down hitting his left knee on the steel rail . he was taken to pershing general hospital where he was given a knee brace and crutches and returned to work on light duty .,b-person/employee o o o o mill o o b-body_part/leg/right_leg i-body_part/leg/right_leg o o o o o o o o o o o b-body_part/leg/knee/left_knee i-body_part/leg/knee/left_knee o o o o o o o o o o o o o o o o o b-body_part/leg/knee o o o o o o o o o o o
10,train,cleaning screens on temple using a drill with a rust stripper to clean screens was wearing safety glasses . everything was ok and went on to pump . eye started to bother him around noon . went to doctor next morning .,o o o o o o o o o o o o o o o o o o o o o o o o o o b-equipment/mechanical_equipment/pump o b-body_part/head/eye o o o o o o o o o o o o o
11,train,"employee was grinding on angle with handheld grinder on friday 2/6/15 . he finished his shift and went home . the next evening ( sat 2/7/15 ) , his eye began to hurt and went to the emergency at 2am on sun 2/8/15 . he had piece of metal in right eye . doctor removed metal and polished cornea . he said doctor suspected the metal could have been in his eye lashes before getting into his eye on saturday",b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/head/eye o o o o o o o room o o o o o o o o o o o o b-body_part/head/eye/right_eye i-body_part/head/eye/right_eye o o o o o o o o o o o o o o o o o o o b-body_part/head/eye o o o o o b-body_part/head/eye o o
12,train,"employee was fixing a vent bag using a scissor deck . using lever to raise scissor deck , something caught on the lever causing it to keep raising , thumb got pinched . seen at the emergency and wound closed with stitches . released to restricted duty .",b-person/employee o o o o o o o o o o o o o o o o o o o o o o o o o o o o b-body_part/arm/hand/thumb o o o o o o room o o o o o o o o o o o
